id,code,name,user_type_id/id,chart_template_id/id,reconcile
6609,6609,Otros Seguros Operativos,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6610,6610,Fianzas de Cumplimiento,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6619,6619,Otras Fianzas,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6700,6700,Gastos por Depreciación Terrenos y Bienes Naturales,account.data_account_type_depreciation,l10n_gt_coa.gt_coa_template,False
6701,6701,Gastos por Depreciación Edificios e Instalaciones,account.data_account_type_depreciation,l10n_gt_coa.gt_coa_template,False
6702,6702,Gastos por Depreciación Mobiliarioy Accesorios,account.data_account_type_depreciation,l10n_gt_coa.gt_coa_template,False
6703,6703,Gastos por Depreciación Equipos y Herramientas,account.data_account_type_depreciation,l10n_gt_coa.gt_coa_template,False
6704,6704,Gastos por Depreciación Maquinaria y Vehículos,account.data_account_type_depreciation,l10n_gt_coa.gt_coa_template,False
6705,6705,Gastos por Depreciación Propiedades en Construcción,account.data_account_type_depreciation,l10n_gt_coa.gt_coa_template,False
6709,6709,"Gastos por Depreciación Otros Activos Fijos",account.data_account_type_depreciation,l10n_gt_coa.gt_coa_template,False
6710,6710,"Gastos por Amortización de Inversión en Investigación, Desarrollo y Organización",account.data_account_type_depreciation,l10n_gt_coa.gt_coa_template,False
6711,6711,"Gastos por Amortización de Patentes, Marcas y Otros Derechos",account.data_account_type_depreciation,l10n_gt_coa.gt_coa_template,False
6712,6712,Gastos por Amortización de Software y Desarrollo IT,account.data_account_type_depreciation,l10n_gt_coa.gt_coa_template,False
6713,6713,Gastos por Amortización de Licencias y Franquicias,account.data_account_type_depreciation,l10n_gt_coa.gt_coa_template,False
6714,6714,"Gastos por Amortización de Fórmulas, Modelos, Diseños y Prototipos",account.data_account_type_depreciation,l10n_gt_coa.gt_coa_template,False
6715,6715,Gastos por Amortización de Contratos y Otros Derechos Adquiridos con Clientes y Proveedores,account.data_account_type_depreciation,l10n_gt_coa.gt_coa_template,False
6719,6719,Gastos por Amortización de Otros Activos Intangibles,account.data_account_type_depreciation,l10n_gt_coa.gt_coa_template,False
6800,6800,Gastos por Pago de Impuestos,account.data_account_type_depreciation,l10n_gt_coa.gt_coa_template,False
6801,6801,Gastos por Pago de Tasas Municipales,account.data_account_type_depreciation,l10n_gt_coa.gt_coa_template,False
6809,6809,Otros Gastos por Impuestos,account.data_account_type_depreciation,l10n_gt_coa.gt_coa_template,False
6900,6900,Pérdidas por Diferencia Cambiaria,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6901,6901,Gastos por Intereses y Penalizaciones,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6902,6902,Gastos por Comisiones y Recargos Bancarios,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6903,6903,Gastos por Comisiones de Tarjeta de Crédito,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6904,6904,Gastos por Verificación de Cheques,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6909,6909,Otros Gastos Financieros,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6910,6910,Pérdidas por Faltantes de Caja,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6911,6911,Pérdidas por Venta de Activos,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6912,6912,Pérdidas por Cuentas Incobrables,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6919,6919,Otros Gastos Varios,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False











